,sigma,beta,rho
0,10.0,2.6666666666666665,6.0
1,10.0,2.6666666666666665,16.0
2,10.0,2.6666666666666665,28.0
3,14.0,2.6666666666666665,28.0
4,14.0,4.333333333333333,28.0
